time,load_pu,wind_pu,pv_pu,hour,regular_load_mw,wind_mw,pv_mw,renewable_mw,purchase_price_yuan_per_kwh,sell_price_yuan_per_kwh,production_load_factor,process_load_factor,alk_load_mw,pem_load_mw,ammonia_load_mw,process_load_mw,ammonia_output_t,total_load_mw,grid_purchase_mw,grid_sale_mw,grid_exchange_mw,case_name,production_t_per_day,full_load_equivalent_hours,equipment_utilization,wind_scenario,pv_scenario
0:00-1:00,0.2283,0.2726,0.0,0,1.3698000000000001,10.904,0.0,10.904,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.8698,31.965799999999998,0.0,31.965799999999998,typical,72,24.0,1.0,-1,-1
1:00-2:00,0.1833,0.3788,0.0,1,1.0997999999999999,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.5998,27.4478,0.0,27.4478,typical,72,24.0,1.0,-1,-1
2:00-3:00,0.1333,0.3328,0.0,2,0.7998000000000001,13.312,0.0,13.312,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.2998,28.9878,0.0,28.9878,typical,72,24.0,1.0,-1,-1
3:00-4:00,0.165,0.3768,0.0,3,0.99,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.49,27.418,0.0,27.418,typical,72,24.0,1.0,-1,-1
4:00-5:00,0.1967,0.4681,0.0,4,1.1802000000000001,18.724,0.0,18.724,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.6802,23.9562,0.0,23.9562,typical,72,24.0,1.0,-1,-1
5:00-6:00,0.2717,0.2407,0.02,5,1.6301999999999999,9.628,1.28,10.908,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,43.1302,32.2222,0.0,32.2222,typical,72,24.0,1.0,-1,-1
6:00-7:00,0.4167,0.5701,0.12,6,2.5002,22.804000000000002,7.68,30.484,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.0002,13.516199999999998,0.0,13.516199999999998,typical,72,24.0,1.0,-1,-1
7:00-8:00,0.5617,0.4463,0.28,7,3.3701999999999996,17.852,17.92,35.772000000000006,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.8702,9.098199999999991,0.0,9.098199999999991,typical,72,24.0,1.0,-1,-1
8:00-9:00,0.6683,0.3582,0.45,8,4.0098,14.328000000000001,28.8,43.128,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.5098,2.3817999999999984,0.0,2.3817999999999984,typical,72,24.0,1.0,-1,-1
9:00-10:00,0.7,0.2976,0.58,9,4.199999999999999,11.904,37.12,49.024,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.7,0.0,3.323999999999998,-3.323999999999998,typical,72,24.0,1.0,-1,-1
10:00-11:00,0.6867,0.1934,0.67,10,4.1202,7.736,42.88,50.616,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.6202,0.0,4.995800000000003,-4.995800000000003,typical,72,24.0,1.0,-1,-1
11:00-12:00,0.65,0.2139,0.7,11,3.9000000000000004,8.556000000000001,44.8,53.355999999999995,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.4,0.0,7.955999999999996,-7.955999999999996,typical,72,24.0,1.0,-1,-1
12:00-13:00,0.5433,0.363,0.72,12,3.2598000000000003,14.52,46.08,60.599999999999994,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.7598,0.0,15.840199999999996,-15.840199999999996,typical,72,24.0,1.0,-1,-1
13:00-14:00,0.4483,0.1677,0.67,13,2.6898,6.707999999999999,42.88,49.588,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.1898,0.0,5.398200000000003,-5.398200000000003,typical,72,24.0,1.0,-1,-1
14:00-15:00,0.605,0.2794,0.58,14,3.63,11.175999999999998,37.12,48.29599999999999,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.13,0.0,3.1659999999999897,-3.1659999999999897,typical,72,24.0,1.0,-1,-1
15:00-16:00,0.6367,0.2527,0.45,15,3.8202000000000003,10.107999999999999,28.8,38.908,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.3202,6.412199999999999,0.0,6.412199999999999,typical,72,24.0,1.0,-1,-1
16:00-17:00,0.625,0.1596,0.28,16,3.75,6.3839999999999995,17.92,24.304000000000002,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.25,20.945999999999998,0.0,20.945999999999998,typical,72,24.0,1.0,-1,-1
17:00-18:00,0.5233,0.1607,0.08,17,3.1398,6.428000000000001,5.12,11.548000000000002,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.6398,33.0918,0.0,33.0918,typical,72,24.0,1.0,-1,-1
18:00-19:00,0.435,0.1434,0.0,18,2.61,5.736,0.0,5.736,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.11,38.374,0.0,38.374,typical,72,24.0,1.0,-1,-1
19:00-20:00,0.3533,0.0938,0.0,19,2.1198,3.752,0.0,3.752,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,43.6198,39.867799999999995,0.0,39.867799999999995,typical,72,24.0,1.0,-1,-1
20:00-21:00,0.31,0.0923,0.0,20,1.8599999999999999,3.6919999999999997,0.0,3.6919999999999997,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,43.36,39.668,0.0,39.668,typical,72,24.0,1.0,-1,-1
21:00-22:00,0.2717,0.122,0.0,21,1.6301999999999999,4.88,0.0,4.88,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,43.1302,38.2502,0.0,38.2502,typical,72,24.0,1.0,-1,-1
22:00-23:00,0.26,0.0625,0.0,22,1.56,2.5,0.0,2.5,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,43.06,40.56,0.0,40.56,typical,72,24.0,1.0,-1,-1
23:00-24:00,0.2467,0.0798,0.0,23,1.4802,3.1919999999999997,0.0,3.1919999999999997,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.980199999999996,39.788199999999996,0.0,39.788199999999996,typical,72,24.0,1.0,-1,-1
0:00-1:00,0.2283,0.2726,0.0,0,1.3698000000000001,10.904,0.0,10.904,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.8698,31.965799999999998,0.0,31.965799999999998,typical,63,21.0,0.875,-1,-1
1:00-2:00,0.1833,0.3788,0.0,1,1.0997999999999999,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.5998,27.4478,0.0,27.4478,typical,63,21.0,0.875,-1,-1
2:00-3:00,0.1333,0.3328,0.0,2,0.7998000000000001,13.312,0.0,13.312,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.2998,28.9878,0.0,28.9878,typical,63,21.0,0.875,-1,-1
3:00-4:00,0.165,0.3768,0.0,3,0.99,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.49,27.418,0.0,27.418,typical,63,21.0,0.875,-1,-1
4:00-5:00,0.1967,0.4681,0.0,4,1.1802000000000001,18.724,0.0,18.724,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.6802,23.9562,0.0,23.9562,typical,63,21.0,0.875,-1,-1
5:00-6:00,0.2717,0.2407,0.02,5,1.6301999999999999,9.628,1.28,10.908,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,43.1302,32.2222,0.0,32.2222,typical,63,21.0,0.875,-1,-1
6:00-7:00,0.4167,0.5701,0.12,6,2.5002,22.804000000000002,7.68,30.484,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.0002,13.516199999999998,0.0,13.516199999999998,typical,63,21.0,0.875,-1,-1
7:00-8:00,0.5617,0.4463,0.28,7,3.3701999999999996,17.852,17.92,35.772000000000006,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.8702,9.098199999999991,0.0,9.098199999999991,typical,63,21.0,0.875,-1,-1
8:00-9:00,0.6683,0.3582,0.45,8,4.0098,14.328000000000001,28.8,43.128,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.5098,2.3817999999999984,0.0,2.3817999999999984,typical,63,21.0,0.875,-1,-1
9:00-10:00,0.7,0.2976,0.58,9,4.199999999999999,11.904,37.12,49.024,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.7,0.0,3.323999999999998,-3.323999999999998,typical,63,21.0,0.875,-1,-1
10:00-11:00,0.6867,0.1934,0.67,10,4.1202,7.736,42.88,50.616,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.6202,0.0,4.995800000000003,-4.995800000000003,typical,63,21.0,0.875,-1,-1
11:00-12:00,0.65,0.2139,0.7,11,3.9000000000000004,8.556000000000001,44.8,53.355999999999995,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.4,0.0,7.955999999999996,-7.955999999999996,typical,63,21.0,0.875,-1,-1
12:00-13:00,0.5433,0.363,0.72,12,3.2598000000000003,14.52,46.08,60.599999999999994,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.7598,0.0,15.840199999999996,-15.840199999999996,typical,63,21.0,0.875,-1,-1
13:00-14:00,0.4483,0.1677,0.67,13,2.6898,6.707999999999999,42.88,49.588,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.1898,0.0,5.398200000000003,-5.398200000000003,typical,63,21.0,0.875,-1,-1
14:00-15:00,0.605,0.2794,0.58,14,3.63,11.175999999999998,37.12,48.29599999999999,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.13,0.0,3.1659999999999897,-3.1659999999999897,typical,63,21.0,0.875,-1,-1
15:00-16:00,0.6367,0.2527,0.45,15,3.8202000000000003,10.107999999999999,28.8,38.908,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.3202,6.412199999999999,0.0,6.412199999999999,typical,63,21.0,0.875,-1,-1
16:00-17:00,0.625,0.1596,0.28,16,3.75,6.3839999999999995,17.92,24.304000000000002,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.25,20.945999999999998,0.0,20.945999999999998,typical,63,21.0,0.875,-1,-1
17:00-18:00,0.5233,0.1607,0.08,17,3.1398,6.428000000000001,5.12,11.548000000000002,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.6398,33.0918,0.0,33.0918,typical,63,21.0,0.875,-1,-1
18:00-19:00,0.435,0.1434,0.0,18,2.61,5.736,0.0,5.736,0.8024,0.3779,0.1,0.1,2.0,2.0,0.15000000000000002,4.15,0.30000000000000004,6.76,1.024,0.0,1.024,typical,63,21.0,0.875,-1,-1
19:00-20:00,0.3533,0.0938,0.0,19,2.1198,3.752,0.0,3.752,0.8024,0.3779,0.1,0.1,2.0,2.0,0.15000000000000002,4.15,0.30000000000000004,6.2698,2.5178000000000003,0.0,2.5178000000000003,typical,63,21.0,0.875,-1,-1
20:00-21:00,0.31,0.0923,0.0,20,1.8599999999999999,3.6919999999999997,0.0,3.6919999999999997,0.8024,0.3779,0.1,0.1,2.0,2.0,0.15000000000000002,4.15,0.30000000000000004,6.01,2.318,0.0,2.318,typical,63,21.0,0.875,-1,-1
21:00-22:00,0.2717,0.122,0.0,21,1.6301999999999999,4.88,0.0,4.88,0.6074,0.3779,0.6999999999999975,0.6999999999999975,13.99999999999995,13.99999999999995,1.0499999999999963,29.049999999999898,2.0999999999999925,30.680199999999896,25.800199999999897,0.0,25.800199999999897,typical,63,21.0,0.875,-1,-1
22:00-23:00,0.26,0.0625,0.0,22,1.56,2.5,0.0,2.5,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,43.06,40.56,0.0,40.56,typical,63,21.0,0.875,-1,-1
23:00-24:00,0.2467,0.0798,0.0,23,1.4802,3.1919999999999997,0.0,3.1919999999999997,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.980199999999996,39.788199999999996,0.0,39.788199999999996,typical,63,21.0,0.875,-1,-1
0:00-1:00,0.2283,0.2726,0.0,0,1.3698000000000001,10.904,0.0,10.904,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.8698,31.965799999999998,0.0,31.965799999999998,typical,54,18.0,0.75,-1,-1
1:00-2:00,0.1833,0.3788,0.0,1,1.0997999999999999,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.5998,27.4478,0.0,27.4478,typical,54,18.0,0.75,-1,-1
2:00-3:00,0.1333,0.3328,0.0,2,0.7998000000000001,13.312,0.0,13.312,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.2998,28.9878,0.0,28.9878,typical,54,18.0,0.75,-1,-1
3:00-4:00,0.165,0.3768,0.0,3,0.99,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.49,27.418,0.0,27.418,typical,54,18.0,0.75,-1,-1
4:00-5:00,0.1967,0.4681,0.0,4,1.1802000000000001,18.724,0.0,18.724,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.6802,23.9562,0.0,23.9562,typical,54,18.0,0.75,-1,-1
5:00-6:00,0.2717,0.2407,0.02,5,1.6301999999999999,9.628,1.28,10.908,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,43.1302,32.2222,0.0,32.2222,typical,54,18.0,0.75,-1,-1
6:00-7:00,0.4167,0.5701,0.12,6,2.5002,22.804000000000002,7.68,30.484,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.0002,13.516199999999998,0.0,13.516199999999998,typical,54,18.0,0.75,-1,-1
7:00-8:00,0.5617,0.4463,0.28,7,3.3701999999999996,17.852,17.92,35.772000000000006,0.6074,0.3779,0.7807662650602412,0.7807662650602412,15.615325301204823,15.615325301204823,1.1711493975903617,32.40180000000001,2.3422987951807235,35.772000000000006,0.0,-0.0,0.0,typical,54,18.0,0.75,-1,-1
8:00-9:00,0.6683,0.3582,0.45,8,4.0098,14.328000000000001,28.8,43.128,0.6074,0.3779,0.9426072289156627,0.9426072289156627,18.852144578313254,18.852144578313254,1.4139108433734942,39.1182,2.8278216867469883,43.128,0.0,-0.0,0.0,typical,54,18.0,0.75,-1,-1
9:00-10:00,0.7,0.2976,0.58,9,4.199999999999999,11.904,37.12,49.024,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.7,0.0,3.323999999999998,-3.323999999999998,typical,54,18.0,0.75,-1,-1
10:00-11:00,0.6867,0.1934,0.67,10,4.1202,7.736,42.88,50.616,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.6202,0.0,4.995800000000003,-4.995800000000003,typical,54,18.0,0.75,-1,-1
11:00-12:00,0.65,0.2139,0.7,11,3.9000000000000004,8.556000000000001,44.8,53.355999999999995,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.4,0.0,7.955999999999996,-7.955999999999996,typical,54,18.0,0.75,-1,-1
12:00-13:00,0.5433,0.363,0.72,12,3.2598000000000003,14.52,46.08,60.599999999999994,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.7598,0.0,15.840199999999996,-15.840199999999996,typical,54,18.0,0.75,-1,-1
13:00-14:00,0.4483,0.1677,0.67,13,2.6898,6.707999999999999,42.88,49.588,0.8024,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.1898,0.0,5.398200000000003,-5.398200000000003,typical,54,18.0,0.75,-1,-1
