mode,scenario,wind_scenario,pv_scenario,storage_capacity_mwh,storage_power_mw,日产氨量,设备利用率,常规负荷需求电量,常规负荷缺供电量,常规负荷供电保障率,制氨工艺用电量,离网服务负荷电量,离网需求电量,风电发电量,光伏发电量,新能源可发电量,新能源实际利用电量,弃风弃光电量,弃风弃光率,风光利用率,储能充电量,储能放电量,储能等效吞吐量,储能损耗及自损耗估计,新能源上网电量比例,新能源自发自用比例（离网实际消纳口径）,总用电量绿电比例（离网需求保障口径）,风电成本,光伏成本,碱性电解槽运维成本,PEM电解槽运维成本,合成氨装置运维成本,储能年化投资成本,储能充放电运维成本,日总成本,吨氨成本,能源自治是否满足常规负荷,ammonia_gain_t,curtailment_reduction_mwh
offgrid_storage,W4_PV1,4,1,0.0,0.0,46.186424096385544,0.6414781124497992,60.72,0.0,1.0,638.9122,699.6322,699.6322,367.484,509.44000000000005,876.924,699.6322,177.2918,0.2021746468337051,0.797825353166295,0.0,0.0,0.0,0.0,0.0,0.797825353166295,1.0,55122.6,61132.8,30790.94939759036,46186.42409638554,46.186424096385544,0.0,0.0,193278.95991807227,4184.756964832831,1,0.0,0.0
offgrid_storage,W4_PV1,4,1,5.0,5.0,46.76993022751289,0.6495823642710123,60.72,0.0,1.0,646.9840348139282,707.7040348139283,707.7040348139283,367.484,509.44000000000005,876.924,708.7746688933422,168.14933110665777,0.19174903538580057,0.8082509646141994,5.55666889334224,4.486034813928212,10.042703707270451,1.070634079413935,0.0,0.8082509646141994,1.0,55122.6,61132.8,31179.953485008587,46769.93022751289,46.76993022751289,925.925925925926,100.42703707270452,195278.40660574764,4175.29822379066,1,0.5835061311273435,9.142468893342226
offgrid_storage,W4_PV1,4,1,10.0,10.0,47.093931528717704,0.6540823823433014,60.72,0.0,1.0,651.4660528139282,712.1860528139282,712.1860528139282,367.484,509.44000000000005,876.924,714.3409770652415,162.5830229347584,0.1854014976608673,0.8145985023391327,11.122977065241592,8.96805281392821,20.091029879169803,2.154924251313332,0.0,0.8145985023391327,1.0,55122.6,61132.8,31395.954352478468,47093.9315287177,47.093931528717704,1851.851851851852,200.91029879169804,196845.1419633684,4179.840917366029,1,0.9075074323321601,14.708777065241605
offgrid_storage,W4_PV1,4,1,15.0,15.0,47.41793282992252,0.6585824004155906,60.72,0.0,1.0,655.9480708139281,716.6680708139281,716.6680708139281,367.484,509.44000000000005,876.924,719.907665998664,157.01633400133602,0.17905352573465433,0.8209464742653457,16.689665998663994,13.45007081392821,30.139736812592204,3.23959518473589,0.0,0.8209464742653457,1.0,55122.6,61132.8,31611.955219948348,47417.932829922516,47.41793282992252,2777.777777777778,301.39736812592207,198411.8811286045,4184.32161183119,1,1.2315087335369768,20.275465998663975
offgrid_storage,W4_PV1,4,1,20.0,20.0,47.74193413112734,0.6630824184878796,60.72,0.0,1.0,660.4300888139283,721.1500888139283,721.1500888139283,367.484,509.44000000000005,876.924,725.4743549320864,151.4496450679136,0.17270555380844133,0.8272944461915587,22.256354932086392,17.93208881392821,40.1884437460146,4.324266118158107,0.0,0.8272944461915587,1.0,55122.6,61132.8,31827.956087418228,47741.934131127346,47.74193413112734,3703.703703703704,401.884437460146,199978.62029384053,4188.741489705508,1,1.5555100347417934,25.8421549320864
offgrid_storage,W4_PV1,4,1,25.0,25.0,48.065808187973516,0.66758066927741,60.72,0.0,1.0,664.9103466003003,725.6303466003003,725.6303466003003,367.484,509.44000000000005,876.924,731.0440363381852,145.87996366181483,0.16635416941697892,0.8336458305830211,27.82603633818516,22.41234660030035,50.23838293848551,5.413689737884852,0.0,0.8336458305830211,1.0,55122.6,61132.8,32043.87212531568,48065.80818797352,48.065808187973516,4629.62962962963,502.38382938485506,201545.15958049166,4193.108722780615,1,1.8793840915879727,31.411836338185168
offgrid_storage,W4_PV1,4,1,30.0,30.0,48.38916148657593,0.6720716873135546,60.72,0.0,1.0,669.3834005643002,730.1034005643003,730.1034005643003,367.484,509.44000000000005,876.924,736.6218809608529,140.3021190391471,0.15999347610414028,0.8400065238958597,33.403880960852895,26.88540056430035,60.28928152515324,6.518480396552604,0.0,0.8400065238958597,1.0,55122.6,61132.8,32259.44099105062,48389.16148657593,48.38916148657593,5555.555555555556,602.8928152515325,203110.84000992024,4197.444918864053,1,2.2027373901903857,36.989680960852894
offgrid_storage,W4_PV1,4,1,35.0,35.0,48.71251478517834,0.6765627053496992,60.72,0.0,1.0,673.8564545283002,734.5764545283002,734.5764545283002,367.484,509.44000000000005,876.924,742.1997255835206,134.72427441647937,0.1536327827913016,0.8463672172086983,38.981725583520635,31.358454528300353,70.34018011182098,7.623271055220357,0.0,0.8463672172086983,1.0,55122.6,61132.8,32475.00985678556,48712.51478517834,48.71251478517834,6481.481481481482,703.4018011182098,204676.5204393488,4201.7235476749665,1,2.5260906887927987,42.56752558352062
offgrid_storage,W4_PV1,4,1,40.0,40.0,49.03586808378074,0.6810537233858436,60.72,0.0,1.0,678.3295084923003,739.0495084923003,739.0495084923003,367.484,509.44000000000005,876.924,747.7775702061883,129.14642979381165,0.14727208947846296,0.8527279105215371,44.55957020618836,35.83150849230035,80.39107869848871,8.728061713887996,0.0,0.8527279105215371,1.0,55122.6,61132.8,32690.5787225205,49035.86808378075,49.03586808378074,7407.407407407408,803.9107869848871,206242.20086877732,4205.945748047125,1,2.8494439873951976,48.145370206188346
offgrid_storage,W4_PV1,4,1,45.0,45.0,49.359221382383154,0.6855447414219883,60.72,0.0,1.0,682.8025624563004,743.5225624563004,743.5225624563004,367.484,509.44000000000005,876.924,753.3580312914389,123.565968708561,0.14090841248336344,0.8590915875166365,50.14003129143899,40.30456245630035,90.44459374773933,9.8354688351385,0.0,0.8590915875166365,1.0,55122.6,61132.8,32906.14758825544,49359.221382383155,49.359221382383154,8333.333333333334,904.4459374773933,207807.9074628317,4210.113159058068,1,3.1727972859976106,53.72583129143899
offgrid_storage,W4_PV1,4,1,50.0,50.0,49.68257468098557,0.6900357594581329,60.72,0.0,1.0,687.2756164203004,747.9956164203004,747.9956164203004,367.484,509.44000000000005,876.924,758.9470539594427,117.9769460405573,0.13453497229013836,0.8654650277098616,55.729053959442716,44.77761642030035,100.50667037974307,10.951437539142262,0.0,0.8654650277098616,1.0,55122.6,61132.8,33121.716453990375,49682.57468098556,49.68257468098557,9259.25925925926,1005.0667037974307,209373.6996727136,4214.228047099274,1,3.4961505846000236,59.3148539594427
offgrid_storage,W4_PV1,4,1,55.0,55.0,50.00592797958798,0.6945267774942775,60.72,0.0,1.0,691.7486703843003,752.4686703843004,752.4686703843004,367.484,509.44000000000005,876.924,764.5360766274464,112.38792337255354,0.12816153209691325,0.8718384679030867,61.31807662744646,49.25067038430035,110.56874701174681,12.067406243146024,0.0,0.8718384679030867,1.0,55122.6,61132.8,33337.28531972531,50005.92797958797,50.00592797958798,10185.185185185184,1105.6874701174681,210939.49188259555,4218.2897189449095,1,3.8195038832024366,64.90387662744645
offgrid_storage,W4_PV1,4,1,60.0,60.0,50.32928127819038,0.699017795530422,60.72,0.0,1.0,696.2217243483003,756.9417243483003,756.9417243483003,367.484,509.44000000000005,876.924,770.1250992954501,106.7989007045498,0.12178809190368811,0.8782119080963118,66.90709929545021,53.72372434830035,120.63082364375056,13.183374947149787,0.0,0.8782119080963118,1.0,55122.6,61132.8,33552.85418546026,50329.281278190385,50.32928127819038,11111.111111111111,1206.3082364375057,212505.28409247744,4222.299200298022,1,4.142857181804835,70.4928992954502
offgrid_storage,W4_PV1,4,1,65.0,65.0,50.65227906185608,0.7035038758591122,60.72,0.0,1.0,700.6898603556758,761.4098603556758,761.4098603556758,367.484,509.44000000000005,876.924,775.715288540535,101.208711459465,0.11541332140466562,0.8845866785953344,72.49728854053501,58.19186035567576,130.68914889621078,14.305428184859124,0.0,0.8845866785953344,1.0,55122.6,61132.8,33768.186041237386,50652.279061856076,50.65227906185608,12037.037037037036,1306.8914889621078,214070.44590815442,4226.274708127815,1,4.465854965470534,76.083088540535
offgrid_storage,W4_PV1,4,1,70.0,70.0,50.97498565386128,0.7079859118591845,60.72,0.0,1.0,705.1539682117477,765.8739682117478,765.8739682117478,367.484,509.44000000000005,876.924,781.3155116547672,95.60848834523279,0.10902710878620359,0.8909728912137964,78.0975116547672,62.65596821174775,140.75347986651497,15.441543443019441,0.0,0.8909728912137964,1.0,55122.6,61132.8,33983.32376924086,50974.98565386128,50.97498565386128,12962.962962962964,1407.5347986651498,215635.1821703841,4230.215651940061,1,4.788561557475738,81.68331165476721
offgrid_storage,W4_PV1,4,1,75.0,75.0,51.297692245866486,0.7124679478592567,60.72,0.0,1.0,709.6180760678197,770.3380760678198,770.3380760678198,367.484,509.44000000000005,876.924,786.9157347689994,90.00826523100056,0.10264089616774152,0.8973591038322585,83.69773476899942,67.12007606781974,150.81781083681915,16.577658701179644,0.0,0.8973591038322585,1.0,55122.6,61132.8,34198.46149724432,51297.69224586649,51.297692245866486,13888.888888888889,1508.1781083681915,217199.91843261375,4234.107011901992,1,5.111268149480942,87.28353476899943
offgrid_storage,W4_PV1,4,1,80.0,80.0,51.62039883787169,0.7169499838593291,60.72,0.0,1.0,714.0821839238918,774.8021839238918,774.8021839238918,367.484,509.44000000000005,876.924,792.5159578832316,84.40804211676837,0.09625468354927949,0.9037453164507205,89.29795788323162,71.58418392389176,160.8821418071234,17.713773959339846,0.0,0.9037453164507205,1.0,55122.6,61132.8,34413.599225247795,51620.39883787169,51.62039883787169,14814.814814814816,1608.821418071234,218764.6546948434,4237.949717938736,1,5.433974741486146,92.88375788323162
offgrid_storage,W4_PV1,4,1,85.0,85.0,51.943105429876894,0.7214320198594013,60.72,0.0,1.0,718.5462917799637,779.2662917799637,779.2662917799637,367.484,509.44000000000005,876.924,798.1173993962564,78.80660060374362,0.08986708153014814,0.9101329184698519,94.89939939625637,76.04829177996375,170.94769117622013,18.851107616292666,0.0,0.9101329184698519,1.0,55122.6,61132.8,34628.73695325127,51943.1054298769,51.943105429876894,15740.74074074074,1709.4769117622013,220329.40314106096,4241.744911430166,1,5.7566813334913505,98.48519939625638
offgrid_storage,W4_PV1,4,1,90.0,90.0,52.2658120218821,0.7259140558594736,60.72,0.0,1.0,723.0103996360358,783.7303996360358,783.7303996360358,367.484,509.44000000000005,876.924,803.7288454025011,73.19515459749893,0.08346807089040661,0.9165319291095934,100.51084540250105,80.51239963603574,181.0232450385368,19.998445766465238,0.0,0.9165319291095934,1.0,55122.6,61132.8,34843.87468125473,52265.8120218821,52.2658120218821,16666.666666666668,1810.232450385368,221894.25163221074,4245.495153491739,1,6.079387925496555,104.09664540250107
offgrid_storage,W4_PV1,4,1,95.0,95.0,52.5885186138873,0.7303960918595459,60.72,0.0,1.0,727.4745074921077,788.1945074921077,788.1945074921077,367.484,509.44000000000005,876.924,809.3402914087458,67.58370859125424,0.0770690602506651,0.9229309397493349,106.12229140874575,84.97650749210776,191.09879890085352,21.145783916638038,0.0,0.9229309397493349,1.0,55122.6,61132.8,35059.012409258205,52588.51861388731,52.5885186138873,17592.59259259259,1910.9879890085354,223459.10012336052,4249.199369239327,1,6.402094517501759,109.70809140874576
offgrid_storage,W4_PV1,4,1,100.0,100.0,52.911225205892514,0.7348781278596183,60.72,0.0,1.0,731.9386153481797,792.6586153481798,792.6586153481798,367.484,509.44000000000005,876.924,814.9520410971847,61.97195890281519,0.07066970330703139,0.9293302966929685,111.7340410971848,89.44061534817976,201.17465644536458,22.293425749004996,0.0,0.9293302966929685,1.0,55122.6,61132.8,35274.15013726168,52911.22520589251,52.911225205892514,18518.51851851852,2011.746564453646,225023.95165133226,4252.858458213745,1,6.72480110950697,115.3198410971848
offgrid_storage,W4_PV1,4,1,105.0,105.0,53.2334091583983,0.7393529049777542,60.72,0.0,1.0,736.3954933578432,797.1154933578432,797.1154933578432,367.484,509.44000000000005,876.924,820.5747324862075,56.349267513792434,0.06425786899867313,0.9357421310013269,117.35673248620756,93.89749335784325,211.2542258440508,23.45923912836429,0.0,0.9357421310013269,1.0,55122.6,61132.8,35488.939438932204,53233.40915839831,53.2334091583983,19444.444444444445,2112.5422584405082,226587.96870937385,4256.499297934341,1,7.046985062012759,120.94253248620757
offgrid_storage,W4_PV1,4,1,110.0,110.0,53.555470337219504,0.7438259769058264,60.72,0.0,1.0,740.8506729982031,801.5706729982031,801.5706729982031,367.484,509.44000000000005,876.924,826.1974238752302,50.72657612476968,0.05784603469031487,0.9421539653096851,122.97942387523031,98.3526729982031,221.33209687343341,24.62675087702712,0.0,0.9421539653096851,1.0,55122.6,61132.8,35703.646891479664,53555.47033721951,53.555470337219504,20370.37037037037,2213.320968734334,228151.7640381411,4260.1019578682,1,7.36904624083396,126.56522387523032
offgrid_storage,W4_PV1,4,1,115.0,115.0,53.8775315160407,0.7482990488338985,60.72,0.0,1.0,745.305852638563,806.025852638563,806.025852638563,367.484,509.44000000000005,876.924,831.8224481605741,45.1015518394258,0.05143154006439076,0.9485684599356092,128.60444816057418,102.80785263856296,231.41230079913714,25.796595522011103,0.0,0.9485684599356092,1.0,55122.6,61132.8,35918.35434402713,53877.5315160407,53.8775315160407,21296.296296296296,2314.1230079913717,229715.58269587156,4263.661979901203,1,7.691107419655154,132.19024816057419
offgrid_storage,W4_PV1,4,1,120.0,120.0,54.19959269486189,0.7527721207619708,60.72,0.0,1.0,749.7610322789228,810.4810322789228,810.4810322789228,367.484,509.44000000000005,876.924,837.4564074682122,39.467592531787794,0.04500685638868111,0.9549931436113189,134.2384074682122,107.2630322789228,241.50143974713498,26.975375189289366,0.0,0.9549931436113189,1.0,55122.6,61132.8,36133.06179657459,54199.59269486189,54.19959269486189,22222.222222222223,2415.0143974713496,231279.4907038249,4267.181342227137,1,8.013168598476348,137.8242074682122
offgrid_storage,W4_PV1,4,1,125.0,125.0,54.521653873683086,0.7572451926900429,60.72,0.0,1.0,754.2162119192826,814.9362119192826,814.9362119192826,367.484,509.44000000000005,876.924,843.0903667758503,33.833633224149764,0.03858217271297144,0.9614178272870286,139.87236677585022,111.71821191928267,251.59057869513288,28.15415485656763,0.0,0.9614178272870286,1.0,55122.6,61132.8,36347.76924912205,54521.653873683084,54.521653873683086,23148.14814814815,2515.9057869513285,232843.39871177825,4270.659126578125,1,8.335229777297542,143.45816677585023
offgrid_storage,W4_PV1,4,1,130.0,130.0,54.84371505250428,0.761718264618115,60.72,0.0,1.0,758.6713915596425,819.3913915596426,819.3913915596426,367.484,509.44000000000005,876.924,848.7243260834882,28.199673916511756,0.03215748903726179,0.9678425109627382,145.50632608348823,116.17339155964254,261.67971764313074,29.332934523845665,0.0,0.9678425109627382,1.0,55122.6,61132.8,36562.47670166952,54843.71505250428,54.84371505250428,24074.074074074073,2616.7971764313074,234407.30671973169,4274.096065434724,1,8.657290956118736,149.09212608348824
